Tweet,Label,cleaning,normalisasi,tokenisasi,stopword_removal
sekarang lagi jaman yang ga suka film/drama korea juga nghype film/drama kor ya ntar review jelek halah kalau emang udah ga into mah mau sebagus apapun bakalan ga masuk -_- heran deh pada seneng banget review jelek ke sesuatu yang lg rame dikira keren banget apa ya -_-,Anger,sekarang lagi jaman yang ga suka filmdrama korea juga nghype filmdrama kor ya ntar review jelek halah kalau emang udah ga into mah mau sebagus apapun bakalan ga masuk heran deh pada seneng banget review jelek ke sesuatu yang lg rame dikira keren banget apa ya,sekarang lagi jaman yang tidak suka filmdrama korea juga nghype filmdrama kor ya entar review jelek halah kalau memang sudah tidak into mah mau sebagus apapun bakalan tidak masuk heran deh pada senang banget review jelek ke sesuatu yang lagi rame dikira keren banget apa ya,"['sekarang', 'lagi', 'jaman', 'yang', 'tidak', 'suka', 'filmdrama', 'korea', 'juga', 'nghype', 'filmdrama', 'kor', 'ya', 'entar', 'review', 'jelek', 'halah', 'kalau', 'memang', 'sudah', 'tidak', 'into', 'mah', 'mau', 'sebagus', 'apapun', 'bakalan', 'tidak', 'masuk', 'heran', 'deh', 'pada', 'senang', 'banget', 'review', 'jelek', 'ke', 'sesuatu', 'yang', 'lagi', 'rame', 'dikira', 'keren', 'banget', 'apa', 'ya']",jaman suka filmdrama korea nghype filmdrama kor entar review jelek halah into mah sebagus apapun masuk heran senang banget review jelek rame keren banget
"hh benci banget sama akgae, akun yg suka bahas 1 member aja trus suka berantem sama akun lain udah aku bub berantem gitu lama lama bakal saling jelekin member lain trus berubah jadi akgae aku maless mutualan sm ornag kaya gituu",Anger,hh benci banget sama akgae akun yg suka bahas member aja trus suka berantem sama akun lain udah aku bub berantem gitu lama lama bakal saling jelekin member lain trus berubah jadi akgae aku maless mutualan sm ornag kaya gituu,hh benci banget sama akgae akun yang suka bahas member saja terus suka berantem sama akun lain sudah aku bub berantem begitu lama lama bakal saling menjelekkan member lain terus berubah jadi akgae aku maless mutualan sama ornag kayak begitu,"['hh', 'benci', 'banget', 'sama', 'akgae', 'akun', 'yang', 'suka', 'bahas', 'member', 'saja', 'terus', 'suka', 'berantem', 'sama', 'akun', 'lain', 'sudah', 'aku', 'bub', 'berantem', 'begitu', 'lama', 'lama', 'bakal', 'saling', 'menjelekkan', 'member', 'lain', 'terus', 'berubah', 'jadi', 'akgae', 'aku', 'maless', 'mutualan', 'sama', 'ornag', 'kayak', 'begitu']",hh benci banget akgae akun suka bahas member suka berantem akun bub berantem menjelekkan member berubah akgae maless mutualan ornag kayak
suka banget ngetease jay. sadar diri wooyy !!!,Anger,suka banget ngetease jay sadar diri wooyy,suka banget ngetease jay sadar diri wooyy,"['suka', 'banget', 'ngetease', 'jay', 'sadar', 'diri', 'wooyy']",suka banget ngetease jay sadar wooyy
hahaha betul sekali aku aja susah kalo udah gak suka sama orang benci nya sampai lama banget,Anger,hahaha betul sekali aku aja susah kalo udah gak suka sama orang benci nya sampai lama banget,hahaha betul sekali aku saja susah kalau sudah tidak suka sama orang benci ya sampai lama banget,"['hahaha', 'betul', 'sekali', 'aku', 'saja', 'susah', 'kalau', 'sudah', 'tidak', 'suka', 'sama', 'orang', 'benci', 'ya', 'sampai', 'lama', 'banget']",hahaha susah suka orang benci banget
"tapi lu selalu ngasih argumen seakan lu doang yg sakit anjing. kalo emang lo ga suka sama gue fine tinggalin gue dari awal, dan ga perlu ngerespon lebih dri itu, justru lo ngerespon seakan yg bakal kejadi nyata banget.",Anger,tapi lu selalu ngasih argumen seakan lu doang yg sakit anjing kalo emang lo ga suka sama gue fine tinggalin gue dari awal dan ga perlu ngerespon lebih dri itu justru lo ngerespon seakan yg bakal kejadi nyata banget,tapi kamu selalu mengasih argumen seakan kamu doang yang sakit anjing kalau memang lo tidak suka sama gue fine tinggalkan gue dari awal dan tidak perlu merespons lebih dari itu justru lo merespons seakan yang bakal kejadi nyata banget,"['tapi', 'kamu', 'selalu', 'mengasih', 'argumen', 'seakan', 'kamu', 'doang', 'yang', 'sakit', 'anjing', 'kalau', 'memang', 'lo', 'tidak', 'suka', 'sama', 'gue', 'fine', 'tinggalkan', 'gue', 'dari', 'awal', 'dan', 'tidak', 'perlu', 'merespons', 'lebih', 'dari', 'itu', 'justru', 'lo', 'merespons', 'seakan', 'yang', 'bakal', 'kejadi', 'nyata', 'banget']",mengasih argumen seakan doang sakit anjing suka gue fine tinggalkan gue merespons merespons seakan kejadi nyata banget
"coba deh, sehari aja puasa ngegosip, nggak ngomongin orang. kira-kira bisa nggak?",Anger,coba deh sehari aja puasa ngegosip nggak ngomongin orang kirakira bisa nggak,coba deh sehari saja puasa ngegosip tidak mengomongkan orang kirakira bisa tidak,"['coba', 'deh', 'sehari', 'saja', 'puasa', 'ngegosip', 'tidak', 'mengomongkan', 'orang', 'kirakira', 'bisa', 'tidak']",coba sehari puasa ngegosip mengomongkan orang kirakira
"emang kenapa saya cinta bendera merah putih saya cinta negara indonesia, situ nggak suka bendera indonesia. trus mau merongrong ogah kerja atau gimana? kalau berani ngomong sini gak usah sembunyi, pengecut",Anger,emang kenapa saya cinta bendera merah putih saya cinta negara indonesia situ nggak suka bendera indonesia trus mau merongrong ogah kerja atau gimana kalau berani ngomong sini gak usah sembunyi pengecut,memang kenapa saya cinta bendera merah putih saya cinta negara indonesia situ tidak suka bendera indonesia terus mau merongrong ogah kerja atau bagaimana kalau berani mengomong sini tidak usah sembunyi pengecut,"['memang', 'kenapa', 'saya', 'cinta', 'bendera', 'merah', 'putih', 'saya', 'cinta', 'negara', 'indonesia', 'situ', 'tidak', 'suka', 'bendera', 'indonesia', 'terus', 'mau', 'merongrong', 'ogah', 'kerja', 'atau', 'bagaimana', 'kalau', 'berani', 'mengomong', 'sini', 'tidak', 'usah', 'sembunyi', 'pengecut']",cinta bendera merah putih cinta negara indonesia situ suka bendera indonesia merongrong ogah kerja berani mengomong sembunyi pengecut
bisnis haram nih artis indonesia yang suka banget bekerja dg uang haram hindari dan jauhi bisnisnya karaoke dll.. biadab banget mengajak masyarakat kpd hal2 yg negatif jauhi mereka semuanya para artis yg menjerumuskanmu keneraka jahanam naudzubillah mindhaliq .,Anger,bisnis haram nih artis indonesia yang suka banget bekerja dg uang haram hindari dan jauhi bisnisnya karaoke dll biadab banget mengajak masyarakat kpd hal yg negatif jauhi mereka semuanya para artis yg menjerumuskanmu keneraka jahanam naudzubillah mindhaliq,bisnis haram nih artis indonesia yang suka banget bekerja dengan uang haram hindari dan jauhi bisnisnya karaoke dll biadab banget mengajak masyarakat kepada hal yang negatif jauhi mereka semuanya para artis yang menjerumuskanmu keneraka jahanam naudzubillah mindhaliq,"['bisnis', 'haram', 'nih', 'artis', 'indonesia', 'yang', 'suka', 'banget', 'bekerja', 'dengan', 'uang', 'haram', 'hindari', 'dan', 'jauhi', 'bisnisnya', 'karaoke', 'dll', 'biadab', 'banget', 'mengajak', 'masyarakat', 'kepada', 'hal', 'yang', 'negatif', 'jauhi', 'mereka', 'semuanya', 'para', 'artis', 'yang', 'menjerumuskanmu', 'keneraka', 'jahanam', 'naudzubillah', 'mindhaliq']",bisnis haram artis indonesia suka banget uang haram hindari jauhi bisnisnya karaoke dll biadab banget mengajak masyarakat negatif jauhi artis menjerumuskanmu keneraka jahanam naudzubillah mindhaliq
weekend nya ga santai banyak hapalan huft,Anger,weekend nya ga santai banyak hapalan huft,weekend ya tidak santai banyak hapalan huft,"['weekend', 'ya', 'tidak', 'santai', 'banyak', 'hapalan', 'huft']",weekend santai hapalan huft
"dulu untuk jadi ustadz di pesantren, ya harus sudah mumpuni dalam bidangnya. bukan siapa saja boleh gak kayak sekarang banyak sesat!!",Anger,dulu untuk jadi ustadz di pesantren ya harus sudah mumpuni dalam bidangnya bukan siapa saja boleh gak kayak sekarang banyak sesat,dulu untuk jadi ustadz di pesantren ya harus sudah mumpuni dalam bidangnya bukan siapa saja boleh tidak kayak sekarang banyak sesat,"['dulu', 'untuk', 'jadi', 'ustadz', 'di', 'pesantren', 'ya', 'harus', 'sudah', 'mumpuni', 'dalam', 'bidangnya', 'bukan', 'siapa', 'saja', 'boleh', 'tidak', 'kayak', 'sekarang', 'banyak', 'sesat']",ustadz pesantren mumpuni bidangnya kayak sesat
ya sukurin aja biar gk nyinyir nyebar fitnah. biasa aja keles.,Anger,ya sukurin aja biar gk nyinyir nyebar fitnah biasa aja keles,ya sukurin saja biar tidak nyinyir nyebar fitnah biasa saja kali,"['ya', 'sukurin', 'saja', 'biar', 'tidak', 'nyinyir', 'nyebar', 'fitnah', 'biasa', 'saja', 'kali']",sukurin biar nyinyir nyebar fitnah kali
"jangan cuma beraninya nge dm doank buktikan dengan ngajak kita ngeroom..jd bisa di buktikan semuanya,tidak semata bualan,atau halu saja..",Anger,jangan cuma beraninya nge dm doank buktikan dengan ngajak kita ngeroomjd bisa di buktikan semuanyatidak semata bualanatau halu saja,jangan cuma beraninya nge dm doang buktikan dengan mengajak kita ngeroomjd bisa di buktikan semuanyatidak semata bualanatau halu saja,"['jangan', 'cuma', 'beraninya', 'nge', 'dm', 'doang', 'buktikan', 'dengan', 'mengajak', 'kita', 'ngeroomjd', 'bisa', 'di', 'buktikan', 'semuanyatidak', 'semata', 'bualanatau', 'halu', 'saja']",beraninya nge dm doang buktikan mengajak ngeroomjd buktikan semuanyatidak bualanatau halu
"nikmatin -_- saya ada 2 yg asli jarang ada kabar yg 1 lagi malah kadang jadi temen, jadi musuh, jadi temen mabuck, dll -_- kesel",Anger,nikmatin saya ada yg asli jarang ada kabar yg lagi malah kadang jadi temen jadi musuh jadi temen mabuck dll kesel,menikmati saya ada yang asli jarang ada kabar yang lagi malah kadang jadi teman jadi musuh jadi teman mabuck dll kesel,"['menikmati', 'saya', 'ada', 'yang', 'asli', 'jarang', 'ada', 'kabar', 'yang', 'lagi', 'malah', 'kadang', 'jadi', 'teman', 'jadi', 'musuh', 'jadi', 'teman', 'mabuck', 'dll', 'kesel']",menikmati asli jarang kabar kadang teman musuh teman mabuck dll kesel
ada yang mulai sebar bacot!! pesan prabowo ke seluruh kader gerindra: jangan jauh-jauh dari ulama!,Anger,ada yang mulai sebar bacot pesan prabowo ke seluruh kader gerindra jangan jauhjauh dari ulama,ada yang mulai sebar bacot pesan prabowo ke seluruh kader gerindra jangan jauhjauh dari ulama,"['ada', 'yang', 'mulai', 'sebar', 'bacot', 'pesan', 'prabowo', 'ke', 'seluruh', 'kader', 'gerindra', 'jangan', 'jauhjauh', 'dari', 'ulama']",sebar bacot pesan prabowo kader gerindra jauhjauh ulama
"sangat, sangat kesal dan merasa tidak enak. aku biasa memperkenalkan suasana keseluruhan album melalui highlight clip untuk setiap album.. tujuannya adalah untuk memaksimalkan dan meningkatkan karakteristik musik secara visual melalui video dengan kualitas terbaik.",Anger,sangat sangat kesal dan merasa tidak enak aku biasa memperkenalkan suasana keseluruhan album melalui highlight clip untuk setiap album tujuannya adalah untuk memaksimalkan dan meningkatkan karakteristik musik secara visual melalui video dengan kualitas terbaik,sangat sangat kesal dan merasa tidak enak aku biasa memperkenalkan suasana keseluruhan album melalui highlight clip untuk setiap album tujuannya adalah untuk memaksimalkan dan meningkatkan karakteristik musik secara visual melalui video dengan kualitas terbaik,"['sangat', 'sangat', 'kesal', 'dan', 'merasa', 'tidak', 'enak', 'aku', 'biasa', 'memperkenalkan', 'suasana', 'keseluruhan', 'album', 'melalui', 'highlight', 'clip', 'untuk', 'setiap', 'album', 'tujuannya', 'adalah', 'untuk', 'memaksimalkan', 'dan', 'meningkatkan', 'karakteristik', 'musik', 'secara', 'visual', 'melalui', 'video', 'dengan', 'kualitas', 'terbaik']",kesal enak memperkenalkan suasana album highlight clip album tujuannya memaksimalkan meningkatkan karakteristik musik visual video kualitas terbaik
"yang sedang saya alami. kemaren saya ada hubungan sama seseorang. 3th aku sama dia. kita udah sama sama dewasa. saya berusaha (finansial). tpi dia malah santai kyk gk mikir gimana caranya. saya sabar, telaten sama dia. tpi dia seenaknya saja.",Anger,yang sedang saya alami kemaren saya ada hubungan sama seseorang th aku sama dia kita udah sama sama dewasa saya berusaha finansial tpi dia malah santai kyk gk mikir gimana caranya saya sabar telaten sama dia tpi dia seenaknya saja,yang sedang saya alami kemarin saya ada hubungan sama seseorang tahu aku sama dia kita sudah sama sama dewasa saya berusaha finansial tapi dia malah santai kayak tidak mikir bagaimana caranya saya sabar telaten sama dia tapi dia seenaknya saja,"['yang', 'sedang', 'saya', 'alami', 'kemarin', 'saya', 'ada', 'hubungan', 'sama', 'seseorang', 'tahu', 'aku', 'sama', 'dia', 'kita', 'sudah', 'sama', 'sama', 'dewasa', 'saya', 'berusaha', 'finansial', 'tapi', 'dia', 'malah', 'santai', 'kayak', 'tidak', 'mikir', 'bagaimana', 'caranya', 'saya', 'sabar', 'telaten', 'sama', 'dia', 'tapi', 'dia', 'seenaknya', 'saja']",alami kemarin hubungan dewasa berusaha finansial santai kayak mikir sabar telaten
pengen mengumpat seperti biasa.,Anger,pengen mengumpat seperti biasa,pengin mengumpat seperti biasa,"['pengin', 'mengumpat', 'seperti', 'biasa']",pengin mengumpat
"serpihan apa? si anis beruntung mewarisi hasil kerja jokowi ahok jarot, dia tinggal cengar cengir gunting pita kayak badut goblok . mrt sudah jadi, busway sudah pakai bis eropa,kampung pulo sudah normal, kalijodo udah rata, coba sebut 1 aja pembangunan si anis yg berguna..?",Anger,serpihan apa si anis beruntung mewarisi hasil kerja jokowi ahok jarot dia tinggal cengar cengir gunting pita kayak badut goblok mrt sudah jadi busway sudah pakai bis eropakampung pulo sudah normal kalijodo udah rata coba sebut aja pembangunan si anis yg berguna,serpihan apa sih anis beruntung mewarisi hasil kerja jokowi ahok jarot dia tinggal cengar cengir gunting pita kayak badut goblok mrt sudah jadi busway sudah pakai bis eropakampung pulo sudah normal kalijodo sudah rata coba sebut saja pembangunan sih anis yang berguna,"['serpihan', 'apa', 'sih', 'anis', 'beruntung', 'mewarisi', 'hasil', 'kerja', 'jokowi', 'ahok', 'jarot', 'dia', 'tinggal', 'cengar', 'cengir', 'gunting', 'pita', 'kayak', 'badut', 'goblok', 'mrt', 'sudah', 'jadi', 'busway', 'sudah', 'pakai', 'bis', 'eropakampung', 'pulo', 'sudah', 'normal', 'kalijodo', 'sudah', 'rata', 'coba', 'sebut', 'saja', 'pembangunan', 'sih', 'anis', 'yang', 'berguna']",serpihan anis beruntung mewarisi hasil kerja jokowi ahok jarot tinggal cengar cengir gunting pita kayak badut goblok mrt busway pakai bis eropakampung pulo normal kalijodo coba pembangunan anis berguna
kan arteria dahlan cuman wakil rakyat toh.. lah terus rakyat yg punya hak di abaikan begitu saja .. kalau begitu tidak usah menjadi wakil rakyat biar rakyat sendiri yg bertindak dan menindak lanjuti setiap kejahatan dan setiap ada kasus2 ampe kesel bacanya,Anger,kan arteria dahlan cuman wakil rakyat toh lah terus rakyat yg punya hak di abaikan begitu saja kalau begitu tidak usah menjadi wakil rakyat biar rakyat sendiri yg bertindak dan menindak lanjuti setiap kejahatan dan setiap ada kasus ampe kesel bacanya,kan arteria dahlan cuman wakil rakyat toh lah terus rakyat yang punya hak di abaikan begitu saja kalau begitu tidak usah menjadi wakil rakyat biar rakyat sendiri yang bertindak dan menindak lanjuti setiap kejahatan dan setiap ada kasus sampai kesel bacanya,"['kan', 'arteria', 'dahlan', 'cuman', 'wakil', 'rakyat', 'toh', 'lah', 'terus', 'rakyat', 'yang', 'punya', 'hak', 'di', 'abaikan', 'begitu', 'saja', 'kalau', 'begitu', 'tidak', 'usah', 'menjadi', 'wakil', 'rakyat', 'biar', 'rakyat', 'sendiri', 'yang', 'bertindak', 'dan', 'menindak', 'lanjuti', 'setiap', 'kejahatan', 'dan', 'setiap', 'ada', 'kasus', 'sampai', 'kesel', 'bacanya']",arteria dahlan cuman wakil rakyat rakyat hak abaikan wakil rakyat biar rakyat bertindak menindak lanjuti kejahatan kesel bacanya
lebih bagus elo murtad dari pada ngaku islam tapi bikin sampah di islam.malah ngotor ngotorin saja,Anger,lebih bagus elo murtad dari pada ngaku islam tapi bikin sampah di islammalah ngotor ngotorin saja,lebih bagus lo murtad dari pada mengaku islam tapi bikin sampah di islammalah ngotor ngotorin saja,"['lebih', 'bagus', 'lo', 'murtad', 'dari', 'pada', 'mengaku', 'islam', 'tapi', 'bikin', 'sampah', 'di', 'islammalah', 'ngotor', 'ngotorin', 'saja']",bagus murtad mengaku islam bikin sampah islammalah ngotor ngotorin
"hebatnya indonesia .. gak cuman pemilunya saja, tes covid pun juga begitu !?!?",Anger,hebatnya indonesia gak cuman pemilunya saja tes covid pun juga begitu,hebatnya indonesia tidak cuman pemilunya saja tes covid pun juga begitu,"['hebatnya', 'indonesia', 'tidak', 'cuman', 'pemilunya', 'saja', 'tes', 'covid', 'pun', 'juga', 'begitu']",hebatnya indonesia cuman pemilunya tes covid
orang normal sarapan nya makanan lari nya ke perut lah kita pagi pagi sarapa bikin kepala kejang !!,Anger,orang normal sarapan nya makanan lari nya ke perut lah kita pagi pagi sarapa bikin kepala kejang,orang normal sarapan ya makanan lari ya ke perut lah kita pagi pagi sarapa bikin kepala kejang,"['orang', 'normal', 'sarapan', 'ya', 'makanan', 'lari', 'ya', 'ke', 'perut', 'lah', 'kita', 'pagi', 'pagi', 'sarapa', 'bikin', 'kepala', 'kejang']",orang normal sarapan makanan lari perut pagi pagi sarapa bikin kepala kejang
"ujunga""nya jadi bangkai saja buanga"" duit aja gak guna dan gak ada satupun proyek yang sukses kesallll mau tampol",Anger,ujunganya jadi bangkai saja buanga duit aja gak guna dan gak ada satupun proyek yang sukses kesallll mau tampol,ujunganya jadi bangkai saja buanga duit saja tidak guna dan tidak ada satupun proyek yang sukses kesallll mau tampol,"['ujunganya', 'jadi', 'bangkai', 'saja', 'buanga', 'duit', 'saja', 'tidak', 'guna', 'dan', 'tidak', 'ada', 'satupun', 'proyek', 'yang', 'sukses', 'kesallll', 'mau', 'tampol']",ujunganya bangkai buanga duit satupun proyek sukses kesallll tampol
"emosy dah sm cowo yg suka nanya begini, mangnya semua cewe cuma mau naik mobil?! kalo misal dulu pernah punya pengalaman begitu sm cewe ya berarti emang cewe itu bukan target pasar lo soalnya cewe jg biasa kemana2 naik ojol broo",Anger,emosy dah sm cowo yg suka nanya begini mangnya semua cewe cuma mau naik mobil kalo misal dulu pernah punya pengalaman begitu sm cewe ya berarti emang cewe itu bukan target pasar lo soalnya cewe jg biasa kemana naik ojol broo,emosy sudah sama cowok yang suka bertanya begini mangnya semua cewek cuma mau naik mobil kalau misal dulu pernah punya pengalaman begitu sama cewek ya berarti memang cewek itu bukan target pasar lo soalnya cewek juga biasa kemana naik ojol broo,"['emosy', 'sudah', 'sama', 'cowok', 'yang', 'suka', 'bertanya', 'begini', 'mangnya', 'semua', 'cewek', 'cuma', 'mau', 'naik', 'mobil', 'kalau', 'misal', 'dulu', 'pernah', 'punya', 'pengalaman', 'begitu', 'sama', 'cewek', 'ya', 'berarti', 'memang', 'cewek', 'itu', 'bukan', 'target', 'pasar', 'lo', 'soalnya', 'cewek', 'juga', 'biasa', 'kemana', 'naik', 'ojol', 'broo']",emosy cowok suka mangnya cewek mobil pengalaman cewek cewek target pasar cewek kemana ojol broo
